Exchange,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
Nasdaq,FEYE,FireEye: Inc.,19.85,3910747472,n/a,2013,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/feye
Nasdaq,FBNC,First Bancorp,39.72,1179799665,n/a,1987,Finance,Major Banks,https://www.nasdaq.com/symbol/fbnc
Nasdaq,FNLC,First Bancorp: Inc (ME),28.44,308712275.3,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fnlc
Nasdaq,FRBA,First Bank,11.94,222852171.8,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/frba
Nasdaq,BUSE,First Busey Corporation,28.38,1386270992,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/buse
Nasdaq,FBIZ,First Business Financial Services: Inc.,21.63,189481027.9,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fbiz
Nasdaq,FCAP,First Capital: Inc.,37.54,125989645.8,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fcap
Nasdaq,FCBP,First Choice Bancorp,22.52,162284299.6,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fcbp
Nasdaq,FCNCA,First Citizens BancShares: Inc.,426.85,5041271374,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fcnca
Nasdaq,FCBC,First Community Bankshares: Inc.,34.75,575972840.5,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fcbc
Nasdaq,FCCO,First Community Corporation,23.54,179022947.6,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fcco
Nasdaq,FDEF,First Defiance Financial Corp.,27.82,567554846.3,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fdef
